timestamp,script,stem,run_key,git_sha,git_dirty,outcome,resumed_from,wall_s,argv
2026-08-17T14:00:46,gen_baseline.py,gen_baseline,e35627ec2040f264,f122b07c02c9,True,written,0,1856.9,"Qwen/Qwen2.5-32B-Instruct --tag 1K_per_direction --split all --decoding greedy --batch-size 32 --max-batch-tokens 32768"
2026-08-17T16:47:09,steer_batch.py,steer_single__story_v2_1k__add__L53__a-0.25,dba13b592880968d,6b858d901911,True,written,0,414.0,"Qwen/Qwen2.5-32B-Instruct --tag 1K_per_direction --script steer_single --jobs /tmp/qwen32b_jobs_success.json --batch-size 32 --max-batch-tokens 32768"
2026-08-17T16:54:02,steer_batch.py,steer_single__story_v2_1k__add__L53__a-0.5,50fe54a9ea4cb834,6b858d901911,True,written,0,413.0,"Qwen/Qwen2.5-32B-Instruct --tag 1K_per_direction --script steer_single --jobs /tmp/qwen32b_jobs_success.json --batch-size 32 --max-batch-tokens 32768"
2026-08-17T17:00:56,steer_batch.py,steer_single__story_v2_1k__add__L53__a-0.75,707254c355edd4c4,6b858d901911,True,written,0,413.3,"Qwen/Qwen2.5-32B-Instruct --tag 1K_per_direction --script steer_single --jobs /tmp/qwen32b_jobs_success.json --batch-size 32 --max-batch-tokens 32768"
2026-08-17T17:07:50,steer_batch.py,steer_single__story_v2_1k__add__L53__a-1,bf2df9479563704b,6b858d901911,True,written,0,413.1,"Qwen/Qwen2.5-32B-Instruct --tag 1K_per_direction --script steer_single --jobs /tmp/qwen32b_jobs_success.json --batch-size 32 --max-batch-tokens 32768"
2026-08-17T17:14:44,steer_batch.py,steer_single__persona_v2__add__L29__a-0.25,f61986df0bf557fc,6b858d901911,True,written,0,412.9,"Qwen/Qwen2.5-32B-Instruct --tag 1K_per_direction --script steer_single --jobs /tmp/qwen32b_jobs_success.json --batch-size 32 --max-batch-tokens 32768"
2026-08-17T17:21:37,steer_batch.py,steer_single__persona_v2__add__L29__a-0.5,7f444b39ae5c9e79,6b858d901911,True,written,0,412.9,"Qwen/Qwen2.5-32B-Instruct --tag 1K_per_direction --script steer_single --jobs /tmp/qwen32b_jobs_success.json --batch-size 32 --max-batch-tokens 32768"
2026-08-17T17:28:31,steer_batch.py,steer_single__persona_v2__add__L29__a-0.75,ddc45a9fff96986a,6b858d901911,True,written,0,413.1,"Qwen/Qwen2.5-32B-Instruct --tag 1K_per_direction --script steer_single --jobs /tmp/qwen32b_jobs_success.json --batch-size 32 --max-batch-tokens 32768"
2026-08-17T17:34:43,steer_batch.py,steer_single__persona_v2__add__L29__a-1,d99b2c8539fc213d,6b858d901911,True,written,0,371.9,"Qwen/Qwen2.5-32B-Instruct --tag 1K_per_direction --script steer_single --jobs /tmp/qwen32b_jobs_success.json --batch-size 32 --max-batch-tokens 32768"
2026-08-17T17:41:37,steer_batch.py,steer_single__harm_v2__add__L57__a0.25,fa55c8782aa3c33c,6b858d901911,True,written,0,412.5,"Qwen/Qwen2.5-32B-Instruct --tag 1K_per_direction --script steer_single --jobs /tmp/qwen32b_jobs_success.json --batch-size 32 --max-batch-tokens 32768"
2026-08-17T17:48:29,steer_batch.py,steer_single__harm_v2__add__L57__a0.5,22b696190ffe156f,6b858d901911,True,written,0,412.2,"Qwen/Qwen2.5-32B-Instruct --tag 1K_per_direction --script steer_single --jobs /tmp/qwen32b_jobs_success.json --batch-size 32 --max-batch-tokens 32768"
2026-08-17T17:55:23,steer_batch.py,steer_single__harm_v2__add__L57__a0.75,d79f427d35995f1f,6b858d901911,True,written,0,412.7,"Qwen/Qwen2.5-32B-Instruct --tag 1K_per_direction --script steer_single --jobs /tmp/qwen32b_jobs_success.json --batch-size 32 --max-batch-tokens 32768"
2026-08-17T18:02:16,steer_batch.py,steer_single__harm_v2__add__L57__a1,8c717425b0f65636,6b858d901911,True,written,0,412.9,"Qwen/Qwen2.5-32B-Instruct --tag 1K_per_direction --script steer_single --jobs /tmp/qwen32b_jobs_success.json --batch-size 32 --max-batch-tokens 32768"
2026-08-17T18:09:10,steer_batch.py,steer_single__eval_v2__add__L28__a0.25,d6f2ac78571a32d9,6b858d901911,True,written,0,412.9,"Qwen/Qwen2.5-32B-Instruct --tag 1K_per_direction --script steer_single --jobs /tmp/qwen32b_jobs_success.json --batch-size 32 --max-batch-tokens 32768"
